DISTRICT,INVAGE,ROAD_CLASS,VISIBILITY,ACCLASS,TIME_OF_DAY,VEHTYPE
Tor & E York,Adoloscent,Collector,Clear,Non-Fatal,Afternoon,Other
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Tor & E York,Youth,Arterial,Clear,Non-Fatal,Afternoon,Bicycle
N York,Adoloscent,Local,Clear,Non-Fatal,Evening,"Automobile, Station Wagon"
N York,Adult,Local,Clear,Non-Fatal,Evening,Other
Scar,Adult,Arterial,Rain,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Scar,NK,Arterial,Rain,Non-Fatal,Afternoon,Other
Scar,Adult,Arterial,Rain,Non-Fatal,Afternoon,Other
Scar,NK,Arterial,Clear,Non-Fatal,Morning,Other
Scar,Adult,Arterial,Clear,Non-Fatal,Morning,Motorcycle
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Evening,"Automobile, Station Wagon"
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Evening,Motorcycle
Eto York,Adult,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Eto York,Adult,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Scar,Adult,Arterial,Clear,Non-Fatal,Afternoon,Motorcycle
Scar,Adult,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Evening,"Automobile, Station Wagon"
Tor & E York,Youth,Arterial,Clear,Non-Fatal,Evening,"Automobile, Station Wagon"
N York,Adult,Arterial,Clear,Non-Fatal,Evening,"Automobile, Station Wagon"
Tor & E York,NK,Arterial,Clear,Non-Fatal,Night,"Automobile, Station Wagon"
N York,Youth,Arterial,Clear,Non-Fatal,Evening,"Automobile, Station Wagon"
N York,Senior,Arterial,Clear,Non-Fatal,Evening,"Automobile, Station Wagon"
Scar,Adult,Arterial,Clear,Non-Fatal,Night,"Automobile, Station Wagon"
Scar,Adult,Arterial,Clear,Non-Fatal,Night,Other
Eto York,Adult,Local,Clear,Non-Fatal,Afternoon,Other
Eto York,Senior,Local,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Tor & E York,NK,Local,Clear,Non-Fatal,Evening,"Automobile, Station Wagon"
Tor & E York,Adult,Local,Clear,Non-Fatal,Evening,Other
N York,NK,Arterial,Clear,Non-Fatal,Evening,Other
N York,Adult,Arterial,Clear,Non-Fatal,Evening,"Automobile, Station Wagon"
N York,Adult,Arterial,Clear,Non-Fatal,Evening,"Automobile, Station Wagon"
Eto York,Senior,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Eto York,Adult,Arterial,Clear,Non-Fatal,Morning,Other
Eto York,NK,Arterial,Clear,Non-Fatal,Morning,Other
Eto York,Adult,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Tor & E York,Youth,Arterial,Clear,Non-Fatal,Afternoon,Motorcycle
Tor & E York,Adoloscent,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Scar,NK,Collector,Rain,Non-Fatal,Morning,Other
